,date,-9,-7,-5,-3,-1,1,3,5,7,9,11
81,2009/3/25,5850,161500,267750,0,0,0,0,0,0,0,0
82,2009/3/26,7250,160800,272900,0,0,0,0,0,0,0,0
83,2009/3/27,5300,163050,277900,0,0,0,0,0,0,0,0
84,2009/3/28,6950,162200,283050,0,0,0,0,0,0,0,0
85,2009/3/29,5800,161950,290250,0,0,0,0,0,0,0,0
86,2009/3/30,6000,162550,295450,0,0,0,0,0,0,0,0
87,2009/3/31,7100,162200,300200,0,0,0,0,0,0,0,0
88,2009/4/1,5700,164350,305150,0,0,0,0,0,0,0,0
89,2009/4/2,5750,164950,310250,0,0,0,0,0,0,0,0
90,2009/4/3,5800,164750,316200,0,0,0,0,0,0,0,0
91,2009/4/4,5650,165050,321650,50,0,0,0,0,0,0,0
92,2009/4/5,7350,164750,326750,50,0,0,0,0,0,0,0
93,2009/4/6,5450,167250,331600,50,0,0,0,0,0,0,0
94,2009/4/7,5000,166150,338150,50,0,0,0,0,0,0,0
95,2009/4/8,5250,166350,342950,50,0,0,0,0,0,0,0
96,2009/4/9,4950,166700,347850,50,0,0,0,0,0,0,0
97,2009/4/10,5400,166300,352550,700,0,0,0,0,0,0,0
98,2009/4/11,6350,165750,355100,3750,0,0,0,0,0,0,0
99,2009/4/12,6550,165250,356650,8400,0,0,0,0,0,0,0
100,2009/4/13,5800,166250,357411,13139,0,0,0,0,0,0,0
101,2009/4/14,6200,166050,357611,18939,0,0,0,0,0,0,0
102,2009/4/15,5650,164000,360150,24650,0,0,0,0,0,0,0
103,2009/4/16,6150,164300,359225,30925,0,0,0,0,0,0,0
104,2009/4/17,5600,164350,360075,36175,0,0,0,0,0,0,0
105,2009/4/18,6450,164150,360975,40925,0,0,0,0,0,0,0
106,2009/4/19,6350,164000,362125,45975,0,0,0,0,0,0,0
107,2009/4/20,11700,163450,357250,52000,0,0,0,0,0,0,0
108,2009/4/21,6200,169200,357550,57600,0,0,0,0,0,0,0
109,2009/4/22,6050,169150,358950,62450,0,0,0,0,0,0,0
110,2009/4/23,3750,170250,359200,67150,0,0,0,0,0,0,0
111,2009/4/24,5750,168650,360200,71500,0,0,0,0,0,0,0
112,2009/4/25,5900,167450,357150,81500,0,0,0,0,0,0,0
113,2009/4/26,6350,167850,352800,90600,0,0,0,0,0,0,0
114,2009/4/27,5200,167750,353900,95950,0,0,0,0,0,0,0
115,2009/4/28,5850,167500,354600,100700,0,0,0,0,0,0,0
116,2009/4/29,7400,167100,354550,106000,0,0,0,0,0,0,0
117,2009/4/30,6550,167750,354850,112450,0,0,0,0,0,0,0
118,2009/5/1,6050,168950,354750,117900,0,0,0,0,0,0,0
119,2009/5/2,7000,168950,353750,124250,0,0,0,0,0,0,0
120,2009/5/3,5350,170600,353500,129800,0,0,0,0,0,0,0
121,2009/5/4,7900,169250,352750,135750,0,0,0,0,0,0,0
122,2009/5/5,7250,169900,352500.04,142749.96,0,0,0,0,0,0,0
123,2009/5/6,6750,172050,351950.04,148399.96,0,0,0,0,0,0,0
124,2009/5/7,6100,174050,350600.04,154499.96,0,0,0,0,0,0,0
125,2009/5/8,5350,175200,349600.04,160449.96,0,0,0,0,0,0,0
126,2009/5/9,3900,176000,347100.04,167499.96,0,0,0,0,0,0,0
127,2009/5/10,4250,174800,345000.04,174699.96,0,0,0,0,0,0,0
128,2009/5/11,6100,173350,341900.04,183399.96,0,0,0,0,0,0,0
129,2009/5/12,6500,173200,342250.04,189299.96,0,0,0,0,0,0,0
130,2009/5/13,5650,174000,341000,196150,0,0,0,0,0,0,0
131,2009/5/14,7100,173700,341100,201850,0,0,0,0,0,0,0
132,2009/5/15,7250,174850,340750,207700,0,0,0,0,0,0,0
133,2009/5/16,5950,176150,340350,214050,0,0,0,0,0,0,0
134,2009/5/17,6350,176500,339400,220600,0,0,0,0,0,0,0
135,2009/5/18,5900,176600,338450,227800,0,0,0,0,0,0,0
136,2009/5/19,4300,176200,339250,233300,0,0,0,0,0,0,0
137,2009/5/20,6000,168900,345150,239000,0,0,0,0,0,0,0
138,2009/5/21,4100,169050,344400,245600,0,0,0,0,0,0,0
139,2009/5/22,3050,167550,344250,251350,0,0,0,0,0,0,0
140,2009/5/23,1600,167100,342300,256800,0,0,0,0,0,0,0
141,2009/5/24,5000,163250,341750,262800,0,0,0,0,0,0,0
142,2009/5/25,5450,162700,342400,267700,0,0,0,0,0,0,0
143,2009/5/26,6250,161900,343500,272850,0,0,0,0,0,0,0
144,2009/5/27,5950,163000,343650,277850,0,0,0,0,0,0,0
145,2009/5/28,4750,163400,344050,283000,0,0,0,0,0,0,0
