Date,Volume
2021/9/28,30602359905 
2021/9/27,30214940550 
2021/9/26,30980029059 
2021/9/25,30661222077 
2021/9/24,31604717236 
2021/9/23,42839345714 
2021/9/22,34244064430 
2021/9/21,38139709246 
2021/9/20,48701090088 
2021/9/19,43909845642 
2021/9/18,26967722648 
2021/9/17,28575630451 
2021/9/16,28727713711 
2021/9/15,31764293754 
2021/9/14,30484496466 
2021/9/13,38652152880 
2021/9/12,40969943253 
2021/9/11,27881980161 
2021/9/10,34499835245 
2021/9/9,39154666597 
2021/9/8,38672657013 
2021/9/7,49007762488 
2021/9/6,65210059683 
2021/9/5,38884105426 
2021/9/4,30322676319 
2021/9/3,37471327794 
2021/9/2,43206179619 
2021/9/1,39508070319 
2021/8/31,39139399125 
2021/8/30,34730363427 
2021/8/29,31847007016 
2021/8/28,25889650240 
2021/8/27,28568103401 
2021/8/26,34511076995 
2021/8/25,32666549568 
2021/8/24,32646349931 
2021/8/23,35361168834 
2021/8/22,34305053719 
2021/8/21,25370975378 
2021/8/20,40585205312 
2021/8/19,34706867452 
2021/8/18,37204312299 
2021/8/17,32194123075 
2021/8/16,33451362600 
2021/8/15,32776876610 
2021/8/14,30988958446 
2021/8/13,31211354442 
2021/8/12,31744259539 
2021/8/11,33723620826 
2021/8/10,34319709073 
2021/8/9,33546019517 
2021/8/8,38734079049 
2021/8/7,36302664750 
2021/8/6,40030862141 
2021/8/5,38226483046 
2021/8/4,35185031017 
2021/8/3,25372562724 
2021/8/2,26189830450 
2021/8/1,25595265436 
2021/7/31,26688438115 
2021/7/30,25802845343 
2021/7/29,33072782960 
2021/7/28,27167146027 
2021/7/27,38702404695 
2021/7/26,35097370560 
2021/7/25,51022126212 
2021/7/24,20856685287 
2021/7/23,21664706865 
2021/7/22,22552046192 
2021/7/21,19555230518 
2021/7/20,28203024559 
2021/7/19,23148267245 
2021/7/18,20434789545 
2021/7/17,18787986667 
2021/7/16,18895018942 
2021/7/15,23699476918 
2021/7/14,21300524237 
2021/7/13,21376531210 
2021/7/12,19120856669 
2021/7/11,24321499537 
2021/7/10,20108729370 
2021/7/9,22971873468 
2021/7/8,27436021028 
2021/7/7,29910396946 
2021/7/6,24796027477 
2021/7/5,26501259870 
2021/7/4,26721554282 
2021/7/3,24924307911 
2021/7/2,24383958643 
2021/7/1,38728974942 
2021/6/30,37838957079 
2021/6/29,34059036099 
2021/6/28,37901460044 
2021/6/27,33892523752 
2021/6/26,35511640894 
2021/6/25,38585385521 
2021/6/24,40230904226 
2021/6/23,33123368116 
2021/6/22,46317108925 
2021/6/21,58964353058 
2021/6/20,52809038594 
2021/6/19,36664034054 
2021/6/18,31207279719 
2021/6/17,36200887275 
2021/6/16,37096670047 
2021/6/15,39211635100 
2021/6/14,46420149185 
2021/6/13,43148914673 
2021/6/12,40669112838 
2021/6/11,37924228550 
2021/6/10,38699736985 
2021/6/9,43576032854 
2021/6/8,53972919008 
2021/6/7,49902050442 
2021/6/6,33683936663 
2021/6/5,28913440585 
2021/6/4,35959473399 
2021/6/3,41831090187 
2021/6/2,35460750427 
2021/6/1,33070867190 
2021/5/31,34639423297 
2021/5/30,39009847639 
2021/5/29,31646080921 
2021/5/28,45231013335 
2021/5/27,55200191952 
2021/5/26,43210968721 
2021/5/25,51346735160 
2021/5/24,56211915803 
2021/5/23,67359584098 
2021/5/22,78469274361 
2021/5/21,57377273240 
2021/5/20,82051616861 
2021/5/19,88281943359 
2021/5/18,126358098747 
2021/5/17,56187365084 
2021/5/16,74903638450 
2021/5/15,64047871555 
2021/5/14,59161047474 
2021/5/13,55737497453 
2021/5/12,96721152926 
2021/5/11,75215403907 
2021/5/10,61308396325 
2021/5/9,71776546298 
2021/5/8,65906690347 
2021/5/7,65382980634 
2021/5/6,68434023376 
2021/5/5,69523285106 
2021/5/4,69241316747 
2021/5/3,68564706967 
2021/5/2,51713139031 
2021/5/1,38177405335 
2021/4/30,42836427360 
2021/4/29,52395931985 
2021/4/28,46088929780 
2021/4/27,48000572955 
2021/4/26,49448222757 
2021/4/25,58284039825 
2021/4/24,46117114240 
2021/4/23,49014494781 
2021/4/22,86668667320 
2021/4/21,74798630778 
2021/4/20,54926612466 
2021/4/19,67849323955 
2021/4/18,65344865159 
2021/4/17,97468872758 
2021/4/16,66138759198 
2021/4/15,84293007468 
2021/4/14,60954381579 
2021/4/13,77451779687 
2021/4/12,69983454362 
2021/4/11,51828688519 
2021/4/10,46280252580 
2021/4/9,58238470525 
2021/4/8,46655208546 
2021/4/7,53053855641 
2021/4/6,75645303584 
2021/4/5,66058027988 
2021/4/4,60706272115 
2021/4/3,50749662970 
2021/4/2,59641344484 
2021/4/1,58727860620 
2021/3/31,61669163792 
2021/3/30,65520826225 
2021/3/29,54414116432 
2021/3/28,57625587027 
2021/3/27,47686580918 
2021/3/26,47266542233 
2021/3/25,56652197978 
2021/3/24,67999812841 
2021/3/23,70567223787 
2021/3/22,56435023914 
2021/3/21,56521454974 
