Date,Open,High,Low,Close,Volume
2022/5/31,68.417023,70.076424,62.546368,62.967819,754343388
2022/5/30,69.110268,69.562752,67.181343,68.411385,532691935
2022/5/29,63.7458,69.296928,63.414074,69.120918,587913790
2022/5/28,63.063595,64.265472,62.106644,63.746628,418602793
2022/5/27,61.55788,62.686611,61.55788,62.313278,615552947
2022/5/26,63.800579,63.928551,61.287403,61.563923,646210455
2022/5/25,68.315109,68.712479,61.340752,63.828136,721052783
2022/5/24,70.319221,71.436462,68.290421,68.313118,529431480
2022/5/23,69.013824,70.535278,67.680138,70.321548,588236113
2022/5/22,71.763947,73.742645,68.990349,69.012756,736854342
2022/5/21,69.707268,72.303619,69.528656,71.774002,449155414
2022/5/20,68.654564,70.429649,68.17234,69.705788,449401029
2022/5/19,72.077171,72.906738,67.099205,68.658295,729408177
2022/5/18,66.386711,72.204117,65.177986,72.09668,801021670
2022/5/17,72.967667,74.037018,66.415634,66.415634,756026173
2022/5/16,67.212189,73.51004,67.212189,72.969315,802347484
2022/5/15,71.519737,71.519737,65.457672,67.211349,722439504
2022/5/14,68.939713,71.530373,66.556671,71.530373,741432120
2022/5/13,67.94561,69.999176,64.620659,68.95031,743433183
2022/5/12,64.383049,72.841606,63.494411,67.96254,1140599762
2022/5/11,66.407776,69.257019,55.322548,64.402748,1925404691
2022/5/10,80.211548,82.39093,65.524239,66.388802,1899877236
2022/5/9,77.831169,84.617218,74.82235,80.22683,1720920553
2022/5/8,93.975418,94.779556,77.957153,77.957153,1207155617
2022/5/7,94.571548,95.582298,92.002991,93.976433,729348318
2022/5/6,96.794212,97.036308,93.347916,94.5709,551811127
2022/5/5,96.909279,98.208733,94.089012,96.791756,769940452
2022/5/4,106.270821,106.712799,95.528778,96.918915,842334241
2022/5/3,99.33873,106.804092,99.265633,106.274864,768693782
2022/5/2,100.697548,101.268745,97.8396,99.343018,542363905
2022/5/1,99.433716,101.510681,98.60585,100.69323,613922891
2022/4/30,96.16787,99.782799,95.484718,99.435776,592413785
2022/4/29,100.378754,101.411224,95.947632,96.165985,604900808
2022/4/28,103.318619,104.023216,99.038841,100.378006,861249271
2022/4/27,100.542412,104.093697,100.009483,103.323349,780434505
2022/4/26,98.41317,101.744102,98.223732,100.538757,692599516
2022/4/25,104.671066,105.173195,97.590805,98.404678,702800418
2022/4/24,104.620399,104.756683,99.510757,104.687019,802054036
2022/4/23,105.492462,105.93084,104.106628,104.622604,487505921
2022/4/22,105.602066,107.133324,105.316483,105.504372,502713461
2022/4/21,106.996887,108.344902,105.546104,105.600624,668097133
2022/4/20,111.975327,114.220154,106.301636,106.997986,747220318
2022/4/19,113.815033,113.921585,111.043251,111.979691,669392298
2022/4/18,111.229103,113.990005,110.827805,113.812088,653731832
2022/4/17,109.035522,111.325768,105.70491,111.226143,810603033
2022/4/16,114.404831,114.969009,108.763725,109.042786,673093200
2022/4/15,111.105934,114.535652,110.541901,114.43071,639352139
2022/4/14,107.414223,112.625504,107.39666,111.109344,802528770
2022/4/13,110.4795,112.114479,106.390358,107.411041,736401323
2022/4/12,104.8246,110.668587,104.244926,110.482452,806829114
2022/4/11,102.64373,105.672188,102.25174,104.828415,638546461
2022/4/10,111.153145,111.153145,102.597687,102.607391,807193871
2022/4/9,112.778358,114.36927,111.173775,111.173775,510044015
2022/4/8,110.878258,112.789642,110.57122,112.777275,519806313
2022/4/7,114.238045,115.081619,110.618355,110.882065,747638227
2022/4/6,112.471046,114.877831,111.465805,114.230194,635873842
2022/4/5,123.200035,123.248947,112.461334,112.461334,1017954203
2022/4/4,124.859909,127.073303,123.195732,123.213173,662578353
2022/4/3,128.907089,128.907089,122.111961,124.861702,849319392
2022/4/2,124.90181,129.305832,124.218536,128.946213,676091829
2022/4/1,124.882378,128.095291,124.469177,124.923485,761262628
2022/3/31,123.731697,125.966331,120.124832,124.883179,854575075
2022/3/30,131.166367,132.776428,122.522713,123.716011,1352615724
2022/3/29,130.054733,133.906784,127.102615,131.169342,928949835
2022/3/28,127.911484,131.786041,127.729424,130.061234,837905297
2022/3/27,129.400635,132.412476,127.852745,127.938614,943699101
2022/3/26,124.889275,129.397476,123.675545,129.397476,740569100
2022/3/25,124.071068,125.360939,122.287392,124.881332,560151992
2022/3/24,126.58252,127.094101,122.376961,124.067368,822120492
2022/3/23,122.468063,127.29319,120.852119,126.581276,1007870447
2022/3/22,122.922516,124.093071,119.096939,122.475418,872780593
2022/3/21,116.150185,123.144989,115.766556,122.927963,1124098345
2022/3/20,114.834305,116.628212,113.742302,116.15873,833192537
2022/3/19,116.356514,117.760002,111.930878,114.82914,859708742
2022/3/18,112.087914,116.373268,111.79776,116.373268,741516370
2022/3/17,110.303444,112.789764,108.48085,112.115868,644181133
